'Name', 'Attack', 'Defense', 'Health', 'Coins', 'LoginDate'
nischay,50,50,250,320,05-02-23
andrew tate,49999999999999999999999999999999995,5573485785734856347856378563478,1091325612309571209750265102986510293650,7200000000000000000000000000000000000000000000000000000000000000100,01-02-23
pritesh,5,5,100,0,28-01-23
george,30000000000000000000000000,20,110,29,29-01-23
kurumi,30,15,120,27,29-01-23
david,5,5,100,102,29-01-23
niscay,5,5,100,0,31-01-23
,5,5,100,0,31-01-23
lin,5,5,4,0,02-02-23
